Plant,diameter,n_leaves,flowering_time,treatment,genotype,transformation,flat,col,row
Ba3.C3.1h,35.4,7,23,h,Bay,Ba3,1,C,3
Ba3.C2.1h,49.68,8,22,h,Bay,Ba3,1,C,2
Ba1.B4.1h,33.42,7,27,h,Bay,Ba1,1,B,4
Sh1.B3.1h,39.41,7,25,h,Sha,Sh1,1,B,3
Sh1.G1.1h,42.14,7,25,h,Sha,Sh1,1,G,1
Sh3.E2.1h,42.93,7,29,h,Sha,Sh3,1,E,2
Sh3.A2.1h,46.64,10,28,h,Sha,Sh3,1,A,2
Sh2.C4.1h,36.45,9,28,h,Sha,Sh2,1,C,4
Sh2.D3.1h,45.11,10,29,h,Sha,Sh2,1,D,3
Ba1.F1.1h,38.96,9,28,h,Bay,Ba1,1,F,1
Sh3.G2.1h,50.1,10,26,h,Sha,Sh3,1,G,2
Sh2.G4.1h,39.79,9,30,h,Sha,Sh2,1,G,4
Sh2.D1.1h,45.18,12,33,h,Sha,Sh2,1,D,1
Sh2.H2.1h,55.69,11,32,h,Sha,Sh2,1,H,2
Ba1.B2.1h,37.35,11,29,h,Bay,Ba1,1,B,2
Sh1.A3.1h,38.66,11,31,h,Sha,Sh1,1,A,3
Sh1.F3.1h,40.72,11,34,h,Sha,Sh1,1,F,3
Sh3.I2.1h,50.88,13,34,h,Sha,Sh3,1,I,2
Sh1.D2.1h,53.78,12,35,h,Sha,Sh1,1,D,2
Ba3.D4.1h,51.4,13,35,h,Bay,Ba3,1,D,4
Sh3.I1.1h,71.47,16,37,h,Sha,Sh3,1,I,1
Ba1.H3.1h,69.36,16,35,h,Bay,Ba1,1,H,3
Ba1.I3.1h,54.49,17,37,h,Bay,Ba1,1,I,3
Sh3.A4.1h,60.81,14,39,h,Sha,Sh3,1,A,4
Ba1.F4.1h,66.73,16,38,h,Bay,Ba1,1,F,4
Ba1.F2.1h,66.18,15,39,h,Bay,Ba1,1,F,2
Ba1.E3.1h,74.57,18,42,h,Bay,Ba1,1,E,3
Ba3.G3.1h,80.54,19,41,h,Bay,Ba3,1,G,3
Ba1.B1.1h,77.97,21,44,h,Bay,Ba1,1,B,1
Ba1.C1.1h,56.39,19,48,h,Bay,Ba1,1,C,1
Ba1.E1.1h,82.37,19,44,h,Bay,Ba1,1,E,1
Sh1.E4.1h,70.7,21,43,h,Sha,Sh1,1,E,4
Sh2.H4.1h,77.02,20,44,h,Sha,Sh2,1,H,4
Ba3.H1.1h,75,22,47,h,Bay,Ba3,1,H,1
Sh2.H4.1h,77.02,20,44,h,Sha,Sh2,1,H,4
Ba1.A1.1h,82.54,24,50,h,Bay,Ba1,1,A,1
Sh3.I1.1l,38.35,6,22,l,Sha,Sh3,2,I,1
Ba3.H1.1l,36.3,7,21,l,Bay,Ba3,2,H,1
Sh2.H2.1l,31.69,7,22,l,Sha,Sh2,2,H,2
Sh1.G1.1l,42.21,7,20,l,Sha,Sh1,2,G,1
Sh3.G2.1l,36.6,7,19,l,Sha,Sh3,2,G,2
Ba1.F4.1l,28.29,6,22,l,Bay,Ba1,2,F,4
Sh3.E2.1l,33.65,6,19,l,Sha,Sh3,2,E,2
Sh1.B3.1l,30.9,6,21,l,Sha,Sh1,2,B,3
Sh3.I2.1l,43.84,7,23,l,Sha,Sh3,2,I,2
Ba1.I3.1l,35.53,6,23,l,Bay,Ba1,2,I,3
Ba3.G3.1l,43.38,8,23,l,Bay,Ba3,2,G,3
Sh1.F3.1l,41.39,7,23,l,Sha,Sh1,2,F,3
Ba1.E1.1l,36.48,8,23,l,Bay,Ba1,2,E,1
Ba3.D4.1l,42.81,8,24,l,Bay,Ba3,2,D,4
Sh2.D3.1l,41.98,7,21,l,Sha,Sh2,2,D,3
Sh2.D1.1l,35.98,7,22,l,Sha,Sh2,2,D,1
Ba1.C1.1l,29.9,6,23,l,Bay,Ba1,2,C,1
Ba3.C2.1l,38.7,8,22,l,Bay,Ba3,2,C,2
Ba3.C3.1l,44.1,8,23,l,Bay,Ba3,2,C,3
Sh2.C4.1l,41.03,8,23,l,Sha,Sh2,2,C,4
Ba1.B4.1l,0,0,23,l,Bay,Ba1,2,B,4
Sh3.A2.1l,33.47,7,22,l,Sha,Sh3,2,A,2
Sh1.A3.1l,35.66,8,23,l,Sha,Sh1,2,A,3
Sh3.A4.1l,32.69,6,22,l,Sha,Sh3,2,A,4
Ba1.H3.1l,29.43,8,27,l,Bay,Ba1,2,H,3
Sh2.H4.1l,47.97,9,23,l,Sha,Sh2,2,H,4
Sh2.G4.1l,49.68,9,26,l,Sha,Sh2,2,G,4
Ba1.F1.1l,44.2,9,26,l,Bay,Ba1,2,F,1
Ba1.E3.1l,39.04,8,23,l,Bay,Ba1,2,E,3
Sh1.E4.1l,47.34,10,25,l,Sha,Sh1,2,E,4
Sh1.D2.1l,38.1,8,26,l,Sha,Sh1,2,D,2
Ba1.B2.1l,50.28,9,26,l,Bay,Ba1,2,B,2
Ba1.B1.1l,40.46,8,26,l,Bay,Ba1,2,B,1
Ba1.A1.1l,39.54,8,28,l,Bay,Ba1,2,A,1
Ba3.C2.2h,43.4,7,27,h,Bay,Ba3,3,C,2
Ba1.G2.2h,43. 68,10,27,h,Bay,Ba1,3,G,2
Sh3.G4.2h,30.96,7,29,h,Sha,Sh3,3,G,4
Ba1.H2.2h,44.05,8,27,h,Bay,Ba1,3,H,2
Sh3.B1.2h,39.67,9,32,h,Sha,Sh3,3,B,1
Ba3.D3.2h,50.3,10,32,h,Bay,Ba3,3,D,3
Sh2.I2.2h,47.92,10,28,h,Sha,Sh2,3,I,2
Sh1.A1.2h,41.84,11,31,h,Sha,Sh1,3,A,1
Ba3.E1.2h,47.14,12,46,h,Bay,Ba3,3,E,1
Ba3.F1.2h,51.88,12,36,h,Bay,Ba3,3,F,1
Sh2.F2.2h,54.46,13,34,h,Sha,Sh2,3,F,2
Ba3.A2.2h,44.2,11,36,h,Bay,Ba3,3,A,2
Sh2.A3.2h,39.61,10,33,h,Sha,Sh2,3,A,3
Sh1.D4.2h,32.95,10,36,h,Sha,Sh1,3,D,4
Sh2.B4.2h,41.55,11,35,h,Sha,Sh2,3,B,4
Sh1.D2.2h,51.41,12,36,h,Sha,Sh1,3,D,2
Ba3.B2.2h,51.11,13,35,h,Bay,Ba3,3,B,2
Sh3.G1.2h,65.83,17,42,h,Sha,Sh3,3,G,1
Sh3.I1.2h,67.31,15,39,h,Sha,Sh3,3,I,1
Ba3.E2.2h,50.18,13,41,h,Bay,Ba3,3,E,2
Sh1.E3.2h,53.36,15,40,h,Sha,Sh1,3,E,3
Sh1.F3.2h,50.02,14,40,h,Sha,Sh1,3,F,3
Ba3.G3.2h,56.19,17,40,h,Bay,Ba3,3,G,3
Ba1.H3.2h,73.7,18,40,h,Bay,Ba1,3,H,3
Ba1.F4.2h,52.42,16,39,h,Bay,Ba1,3,F,4
Ba3.C4.2h,56.45,14,38,h,Bay,Ba3,3,C,4
Sh2.H1.2h,65.1,18,45,h,Sha,Sh2,3,H,1
Ba3.B3.2h,63.49,16,42,h,Bay,Ba3,3,B,3
Sh1.H4.2h,34.16,15,45,h,Sha,Sh1,3,H,4
Ba3.E4.2h,58.42,17,42,h,Bay,Ba3,3,E,4
Ba1.C3.2h,80.48,20,43,h,Bay,Ba1,3,C,3
Sh2.I3.2h,83.49,22,46,h,Sha,Sh2,3,I,3
Sh3.A4.2h,71.68,21,46,h,Sha,Sh3,3,A,4
Ba1.C1.2h,37.45,18,49,h,Bay,Ba1,3,C,1
Sh2.I3.2l,31.19,6,18,l,Sha,Sh2,4,I,3
Sh3.G1.2l,33.98,6,22,l,Sha,Sh3,4,G,1
Ba3.G3.2l,25.92,7,21,l,Bay,Ba3,4,G,3
Sh2.F2.2l,26.63,6,20,l,Sha,Sh2,4,F,2
Ba1.F4.2l,30.35,6,23,l,Bay,Ba1,4,F,4
Ba3.E2.2l,22.4,7,21,l,Bay,Ba3,4,E,2
Sh1.E3.2l,38.98,6,21,l,Sha,Sh1,4,E,3
Ba3.D1.2l,29.34,6,20,l,Bay,Ba3,4,D,1
Sh1.D2.2l,33.45,6,20,l,Sha,Sh1,4,D,2
Ba3.D3.2l,33.54,6,20,l,Bay,Ba3,4,D,3
Ba3.C4.2l,31.05,5,20,l,Bay,Ba3,4,C,4
Sh3.B1.2l,31.42,6,20,l,Sha,Sh3,4,B,1
Ba3.B2.2l,27.83,6,20,l,Bay,Ba3,4,B,2
Ba3.B3.2l,31.77,7,20,l,Bay,Ba3,4,B,3
Sh1.A1.2l,26.2,6,21,l,Sha,Sh1,4,A,1
Sh2.A3.2l,32.3,6,20,l,Sha,Sh2,4,A,3
Sh2.H1.2l,43.11,6,23,l,Sha,Sh2,4,H,1
Ba1.H2.2l,40.12,7,23,l,Bay,Ba1,4,H,2
Ba1.H3.2l,38.92,7,23,l,Bay,Ba1,4,H,3
Ba3.E4.2l,28.69,7,24,l,Bay,Ba3,4,E,4
Sh1.D4.2l,27.66,8,26,l,Sha,Sh1,4,D,4
Ba3.A2.2l,35.97,8,23,l,Bay,Ba3,4,A,2
Sh3.A4.2l,31.09,6,24,l,Sha,Sh3,4,A,4
Sh3.I1.2l,40.63,8,24,l,Sha,Sh3,4,I,1
Sh2.I2.2l,32.53,7,26,l,Sha,Sh2,4,I,2
Sh3.G4.2l,29.57,8,26,l,Sha,Sh3,4,G,4
Ba1.G2.2l,30.07,9,26,l,Bay,Ba1,4,G,2
Ba3.F1.2l,46.55,9,25,l,Bay,Ba3,4,F,1
Sh1.F3.2l,38,8,28,l,Sha,Sh1,4,F,3
Ba3.E1.2l,50.74,9,27,l,Bay,Ba3,4,E,1
